gene,LASSO,Boruta,XGBoost,n_methods,junb_jund_klf9_target,tspc_marker
C3,True,True,True,3,True,False
Camk2n1,True,True,True,3,True,False
Cpxm1,True,True,True,3,True,False
Fth1,True,True,True,3,True,False
Igfbp7,True,True,True,3,True,False
Nfib,True,True,True,3,True,False
Ptx3,True,True,True,3,True,False
Rps29,True,True,True,3,True,False
Scn7a,True,True,True,3,True,False
Serping1,True,True,True,3,True,False
Slc38a2,True,True,True,3,True,False
Slfn5,True,True,True,3,True,False
Steap4,True,True,True,3,True,False
Zfp36l1,True,True,True,3,True,False
Aebp1,True,True,True,3,False,False
C1ra,True,True,True,3,False,False
Cebpd,True,True,True,3,False,False
Cxcl12,True,True,True,3,False,False
Lpl,True,True,True,3,False,False
Sema3c,True,True,True,3,False,True
Sfrp2,True,True,True,3,False,False
Tppp3,True,True,True,3,False,True
Zfp36,True,True,True,3,False,False
Adamts1,True,False,True,2,True,False
Apod,True,True,False,2,True,False
Cxcl1,False,True,True,2,True,False
Dcn,True,True,False,2,True,False
Fosb,True,True,False,2,True,False
Fst,False,True,True,2,True,False
Gpx3,False,True,True,2,True,False
Hspa8,True,True,False,2,True,False
Il11ra1,False,True,True,2,True,False
Kitl,False,True,True,2,True,False
Mmp3,True,True,False,2,True,False
Ptgs2,True,True,False,2,True,False
Rpl32,True,True,False,2,True,False
Selenop,True,True,False,2,True,False
Sfrp4,True,True,False,2,True,False
Wnt5a,False,True,True,2,True,False
Acsl4,True,False,True,2,False,False
Cd34,True,True,False,2,False,True
Igfbp6,True,True,False,2,False,True
Pnrc1,True,True,False,2,False,False
Prg4,False,True,True,2,False,True
